usage: main.py [-h] [--dataset DATASET] [--topic_num TOPIC_NUM]
               [--init_dataset] [--seed SEED] [--time_steps TIME_STEPS]
               [--AI AI] [--LAMBDA LAMBDA] [--prob_send_msg PROB_SEND_MSG]
               [--k K] [--worker_num WORKER_NUM] [--plot] [--multi_thread]
               [--plot_type PLOT_TYPE]

Hyper Parameters

optional arguments:
  -h, --help            show this help message and exit
  --dataset DATASET
  --topic_num TOPIC_NUM
  --init_dataset
  --seed SEED
  --time_steps TIME_STEPS
  --AI AI
  --LAMBDA LAMBDA
  --prob_send_msg PROB_SEND_MSG
  --k K
  --worker_num WORKER_NUM
  --plot
  --multi_thread
  --plot_type PLOT_TYPE
Namespace(AI='CB', LAMBDA=0.5, dataset='ciao_clean', init_dataset=False, k=5, multi_thread=False, plot=False, plot_type='fb', prob_send_msg=0.2, seed=321, time_steps=1000, topic_num=5, worker_num=10)
Time step: 273 | Execution time: 20s | Avg. FB: 1.563971
Time step: 274 | Execution time: 19s | Avg. FB: 1.563974
Time step: 275 | Execution time: 18s | Avg. FB: 1.563984
Time step: 276 | Execution time: 20s | Avg. FB: 1.563972
Time step: 277 | Execution time: 19s | Avg. FB: 1.563965
Time step: 278 | Execution time: 19s | Avg. FB: 1.563960
Time step: 279 | Execution time: 20s | Avg. FB: 1.563964
Time step: 280 | Execution time: 19s | Avg. FB: 1.563940
Time step: 281 | Execution time: 19s | Avg. FB: 1.563931
Time step: 282 | Execution time: 20s | Avg. FB: 1.563892
Time step: 283 | Execution time: 19s | Avg. FB: 1.563899
Time step: 284 | Execution time: 20s | Avg. FB: 1.563898
Time step: 285 | Execution time: 20s | Avg. FB: 1.563869
Time step: 286 | Execution time: 51s | Avg. FB: 1.563864
Time step: 287 | Execution time: 20s | Avg. FB: 1.563853
Time step: 288 | Execution time: 19s | Avg. FB: 1.563865
Time step: 289 | Execution time: 20s | Avg. FB: 1.563873
Time step: 290 | Execution time: 20s | Avg. FB: 1.563845
Time step: 291 | Execution time: 20s | Avg. FB: 1.563844
Time step: 292 | Execution time: 20s | Avg. FB: 1.563843
Time step: 293 | Execution time: 19s | Avg. FB: 1.563848
Time step: 294 | Execution time: 19s | Avg. FB: 1.563866
Time step: 295 | Execution time: 20s | Avg. FB: 1.563886
Time step: 296 | Execution time: 16s | Avg. FB: 1.563893
Time step: 297 | Execution time: 18s | Avg. FB: 1.563901
Time step: 298 | Execution time: 19s | Avg. FB: 1.563881
Time step: 299 | Execution time: 19s | Avg. FB: 1.563879
Time step: 300 | Execution time: 19s | Avg. FB: 1.563883
Time step: 301 | Execution time: 21s | Avg. FB: 1.563874
Time step: 302 | Execution time: 18s | Avg. FB: 1.563877
Time step: 303 | Execution time: 21s | Avg. FB: 1.563859
Time step: 304 | Execution time: 20s | Avg. FB: 1.563864
Time step: 305 | Execution time: 19s | Avg. FB: 1.563876
Time step: 306 | Execution time: 20s | Avg. FB: 1.563876
Time step: 307 | Execution time: 21s | Avg. FB: 1.563874
Time step: 308 | Execution time: 20s | Avg. FB: 1.563867
Time step: 309 | Execution time: 18s | Avg. FB: 1.563870
Time step: 310 | Execution time: 20s | Avg. FB: 1.563876
Time step: 311 | Execution time: 21s | Avg. FB: 1.563874
Time step: 312 | Execution time: 20s | Avg. FB: 1.563873
Time step: 313 | Execution time: 21s | Avg. FB: 1.563870
Time step: 314 | Execution time: 19s | Avg. FB: 1.563864
Time step: 315 | Execution time: 21s | Avg. FB: 1.563866
Time step: 316 | Execution time: 21s | Avg. FB: 1.563861
Time step: 317 | Execution time: 21s | Avg. FB: 1.563856
Time step: 318 | Execution time: 20s | Avg. FB: 1.563863
Time step: 319 | Execution time: 19s | Avg. FB: 1.563876
Time step: 320 | Execution time: 20s | Avg. FB: 1.563888
Time step: 321 | Execution time: 21s | Avg. FB: 1.563890
Time step: 322 | Execution time: 21s | Avg. FB: 1.563892
Time step: 323 | Execution time: 21s | Avg. FB: 1.563893
Time step: 324 | Execution time: 21s | Avg. FB: 1.563886
Time step: 325 | Execution time: 20s | Avg. FB: 1.563853
Time step: 326 | Execution time: 21s | Avg. FB: 1.563860
Time step: 327 | Execution time: 21s | Avg. FB: 1.563864
Time step: 328 | Execution time: 21s | Avg. FB: 1.563867
Time step: 329 | Execution time: 21s | Avg. FB: 1.563861
Time step: 330 | Execution time: 22s | Avg. FB: 1.563833
Time step: 331 | Execution time: 20s | Avg. FB: 1.563832
Time step: 332 | Execution time: 21s | Avg. FB: 1.563845
Time step: 333 | Execution time: 21s | Avg. FB: 1.563855
Time step: 334 | Execution time: 21s | Avg. FB: 1.563852
Time step: 335 | Execution time: 22s | Avg. FB: 1.563848
Time step: 336 | Execution time: 21s | Avg. FB: 1.563838
Time step: 337 | Execution time: 21s | Avg. FB: 1.563840
Time step: 338 | Execution time: 20s | Avg. FB: 1.563846
Time step: 339 | Execution time: 21s | Avg. FB: 1.563853
Time step: 340 | Execution time: 22s | Avg. FB: 1.563850
Time step: 341 | Execution time: 22s | Avg. FB: 1.563853
Time step: 342 | Execution time: 22s | Avg. FB: 1.563846
Time step: 343 | Execution time: 21s | Avg. FB: 1.563857
Time step: 344 | Execution time: 22s | Avg. FB: 1.563854
Time step: 345 | Execution time: 20s | Avg. FB: 1.563846
Time step: 346 | Execution time: 22s | Avg. FB: 1.563839
Time step: 347 | Execution time: 22s | Avg. FB: 1.563844
Time step: 348 | Execution time: 22s | Avg. FB: 1.563841
Time step: 349 | Execution time: 21s | Avg. FB: 1.563857
Time step: 350 | Execution time: 21s | Avg. FB: 1.563851
Time step: 351 | Execution time: 22s | Avg. FB: 1.563850
Time step: 352 | Execution time: 21s | Avg. FB: 1.563852
Time step: 353 | Execution time: 20s | Avg. FB: 1.563855
Time step: 354 | Execution time: 22s | Avg. FB: 1.563863
Time step: 355 | Execution time: 22s | Avg. FB: 1.563854
Time step: 356 | Execution time: 22s | Avg. FB: 1.563862
Time step: 357 | Execution time: 63s | Avg. FB: 1.563850
Time step: 358 | Execution time: 21s | Avg. FB: 1.563851
Time step: 359 | Execution time: 22s | Avg. FB: 1.563849
Time step: 360 | Execution time: 21s | Avg. FB: 1.563848
Time step: 361 | Execution time: 22s | Avg. FB: 1.563838
Time step: 362 | Execution time: 22s | Avg. FB: 1.563845
Time step: 363 | Execution time: 22s | Avg. FB: 1.563849
Time step: 364 | Execution time: 22s | Avg. FB: 1.563853
Time step: 365 | Execution time: 22s | Avg. FB: 1.563861
Time step: 366 | Execution time: 22s | Avg. FB: 1.563857
Time step: 367 | Execution time: 22s | Avg. FB: 1.563860
Time step: 368 | Execution time: 22s | Avg. FB: 1.563865
Time step: 369 | Execution time: 22s | Avg. FB: 1.563857
Time step: 370 | Execution time: 22s | Avg. FB: 1.563841
Time step: 371 | Execution time: 22s | Avg. FB: 1.563834
Time step: 372 | Execution time: 23s | Avg. FB: 1.563833
Time step: 373 | Execution time: 22s | Avg. FB: 1.563834
Time step: 374 | Execution time: 22s | Avg. FB: 1.563841
